date,coin,open,high,low,close,volume,tweet_count,avg_score,pct_positive,pct_negative,pct_neutral,sentiment_gap,vader_mean,vader_std,vader_pos_mean,vader_neg_mean,sentiment_7d_avg,sentiment_7d_std,sentiment_momentum,volume_7d_avg,price_return,price_7d_volatility,price_7d_momentum
2019-12-24,BTC,7354.39306640625,7535.716796875,7269.52880859375,7322.5322265625,22991622105,0,,,,,True,,,,,3.0,0.0,,0.2857142857142857,-0.004499437644974069,0.04126229260611046,0.10270544917103397
2019-12-25,BTC,7325.755859375,7357.02001953125,7220.9912109375,7275.15576171875,21559505149,0,,,,,True,,,,,3.0,0.0,,0.2857142857142857,-0.006469956481979233,0.020822370523631038,-0.0002263319092696836
2019-12-26,BTC,7274.79931640625,7388.302734375,7200.38671875,7238.966796875,22787010034,0,,,,,True,,,,,3.0,0.0,,0.2857142857142857,-0.004974321654276248,0.020483607203743523,0.00501504091977556
2019-12-27,BTC,7238.14111328125,7363.529296875,7189.93408203125,7290.08837890625,22777360996,0,,,,,True,,,,,3.0,0.0,,0.0,0.007061999794407026,0.020617288716516434,0.009873082877484451
2019-12-28,BTC,7289.03125,7399.041015625,7286.9052734375,7317.990234375,21365673026,0,,,,,True,,,,,3.0,0.0,,0.0,0.003827368615925586,0.02048484595417024,0.017637149785099115
2019-12-29,BTC,7317.6474609375,7513.9482421875,7279.865234375,7422.65283203125,22445257702,0,,,,,True,,,,,3.0,0.0,,0.0,0.014302095835631912,0.011314189190246246,-0.011839843304622955
2019-12-30,BTC,7420.27294921875,7454.82421875,7276.30810546875,7292.9951171875,22874131672,0,,,,,True,,,,,,0.0,,0.0,-0.017467840376992116,0.010419471290416087,-0.00851501696690471
2019-12-31,BTC,7294.43896484375,7335.2900390625,7169.77783203125,7193.59912109375,21167946112,1,3.0,1.0,0.0,0.0,False,0.9257,0.0,0.325,0.0,3.0,0.0,,0.14285714285714285,-0.013628967865274233,0.011427653747630623,-0.01760772113792064
2020-01-01,BTC,7194.89208984375,7254.33056640625,7174.9443359375,7200.17431640625,18565664997,0,3.0,1.0,0.0,0.0,True,,,,,3.0,0.0,0.0,0.14285714285714285,0.0009140341575637478,0.011338256747891292,-0.010306507210064986
2020-01-02,BTC,7202.55126953125,7212.1552734375,6935.27001953125,6985.47021484375,20802083465,1,2.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,2.6666666666666665,0.5773502691896257,-1.0,0.2857142857142857,-0.029819292162590716,0.015688951783606728,-0.03501833744294591
2020-01-03,BTC,6984.4287109375,7413.71533203125,6914.99609375,7344.88427734375,28111481032,1,2.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,2.5,0.5773502691896257,0.0,0.42857142857142855,0.05145166344511276,0.02656521496587539,0.00751649302305446
2020-01-04,BTC,7345.37548828125,7427.3857421875,7309.51416015625,7410.65673828125,18444271275,0,2.0,0.0,0.0,1.0,True,,,,,2.4,0.5477225575051661,0.0,0.42857142857142855,0.008954866877941559,0.026714588884524486,0.012662835141671103
2020-01-05,BTC,7410.45166015625,7544.4970703125,7400.53564453125,7411.3173828125,19725074095,1,2.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,2.3333333333333335,0.5163977794943222,0.0,0.5714285714285714,8.914790612779555e-05,0.02616720691981545,-0.001527142583017449
2020-01-06,BTC,7410.4521484375,7781.8671875,7409.29296875,7769.21923828125,23276261598,0,2.0,0.0,0.0,1.0,True,,,,,2.2857142857142856,0.48795003647426655,0.0,0.5714285714285714,0.04829126010697582,0.030299150697682298,0.06529883997473496
2020-01-07,BTC,7768.68212890625,8178.2158203125,7768.2275390625,8163.6923828125,28767291327,0,2.0,0.0,0.0,1.0,True,,,,,2.142857142857143,0.3779644730092271,0.0,0.42857142857142855,0.050773846435889336,0.03185600662434394,0.13485506286750826
2020-01-08,BTC,8161.935546875,8396.73828125,7956.7744140625,8079.86279296875,31672559265,0,2.0,0.0,0.0,1.0,True,,,,,2.0,0.0,0.0,0.42857142857142855,-0.010268587535248286,0.03314871515383439,0.12217599712246541
2020-01-09,BTC,8082.2958984375,8082.2958984375,7842.40380859375,7879.0712890625,24045990466,1,3.0,1.0,0.0,0.0,False,0.4389,0.0,0.106,0.048,2.142857142857143,0.3779644730092271,1.0,0.42857142857142855,-0.024850855645838776,0.03201112854312263,0.12792282362322527
2020-01-10,BTC,7878.3076171875,8166.55419921875,7726.77490234375,8166.55419921875,28714583844,0,3.0,1.0,0.0,0.0,True,,,,,2.2857142857142856,0.48795003647426655,0.0,0.2857142857142857,0.03648690303834745,0.0298115459212351,0.11186968927605134
2020-01-11,BTC,8162.19091796875,8218.359375,8029.64208984375,8037.53759765625,25521165085,0,3.0,1.0,0.0,0.0,True,,,,,2.4285714285714284,0.5345224838248488,0.0,0.2857142857142857,-0.015798168776598898,0.03211563092241997,0.08459180900077579
2020-01-12,BTC,8033.26171875,8200.0634765625,8009.05908203125,8192.494140625,22903438381,0,3.0,1.0,0.0,0.0,True,,,,,2.5714285714285716,0.5345224838248488,0.0,0.14285714285714285,0.019279106453440997,0.031735953888337665,0.10540322556204629
2020-01-13,BTC,8189.77197265625,8197.7880859375,8079.70068359375,8144.1943359375,22482910688,0,,,,,True,,,,,2.6666666666666665,0.5163977794943222,,0.14285714285714285,-0.005895616628883604,0.028679442869311345,0.04826419311333585
2020-01-14,BTC,8140.93310546875,8879.51171875,8140.93310546875,8827.7646484375,44841784107,0,,,,,True,,,,,2.8,0.44721359549995776,,0.14285714285714285,0.08393344808628167,0.0382398230186626,0.08134459684236872
2020-01-15,BTC,8825.34375,8890.1171875,8657.1875,8807.0107421875,40102834650,1,3.0,1.0,0.0,0.0,False,0.0,0.0,0.0,0.0,3.0,0.0,,0.2857142857142857,-0.002350980919464507,0.03758840489071252,0.08999508628432751
2020-01-16,BTC,8812.4814453125,8846.4609375,8612.095703125,8723.7861328125,31313981931,0,3.0,1.0,0.0,0.0,True,,,,,3.0,0.0,0.0,0.14285714285714285,-0.009449813541879348,0.035392123758057684,0.10720995060961158
2020-01-17,BTC,8725.2099609375,8958.1220703125,8677.31640625,8929.0380859375,36372139320,0,3.0,1.0,0.0,0.0,True,,,,,3.0,0.0,0.0,0.14285714285714285,0.02352785247141642,0.03441686111638145,0.09336665968514524
2020-01-18,BTC,8927.2119140625,9012.1982421875,8827.33203125,8942.80859375,32337772627,0,3.0,1.0,0.0,0.0,True,,,,,3.0,0.0,0.0,0.14285714285714285,0.0015422162701026476,0.032544804952908575,0.1126303902276895
2020-01-19,BTC,8941.4453125,9164.3623046875,8620.080078125,8706.2451171875,34217320471,1,3.0,1.0,0.0,0.0,False,0.9449,0.0,0.285,0.032,3.0,0.0,0.0,0.2857142857142857,-0.026452928527155417,0.03612302465682339,0.06270995959764036
2020-01-20,BTC,8704.6318359375,8745.5908203125,8560.4736328125,8657.642578125,26422375678,0,3.0,1.0,0.0,0.0,True,,,,,3.0,0.0,0.0,0.2857142857142857,-0.005582491465413786,0.036101309383538616,0.06304469429490789
2020-01-21,BTC,8658.9912109375,8755.7060546875,8544.5205078125,8745.89453125,24097418512,1,2.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,2.857142857142857,0.3779644730092271,-1.0,0.42857142857142855,0.010193531591149663,0.015679580961206644,-0.009274161743991538
2020-01-22,BTC,8744.2109375,8792.994140625,8636.7470703125,8680.8759765625,22600204051,1,2.0,0.0,0.0,1.0,False,0.0,0.0,0.0,0.0,2.7142857142857144,0.4879500364742667,0.0,0.42857142857142855,-0.007434180055016837,0.015857142609362527,-0.014322086042292126
2020-01-23,BTC,8680.650390625,8687.7470703125,8333.6376953125,8406.515625,25770680779,0,2.0,0.0,0.0,1.0,True,,,,,2.5714285714285716,0.534522483824849,0.0,0.42857142857142855,-0.03160514587505292,0.01941526387045943,-0.036368441750212144
2020-01-24,BTC,8405.5673828125,8514.6669921875,8266.8408203125,8445.4345703125,24397913026,0,2.0,0.0,0.0,1.0,True,,,,,2.4285714285714284,0.5345224838248493,0.0,0.42857142857142855,0.004629616722148233,0.015733222427615417,-0.05416076300387107
2020-01-25,BTC,8440.119140625,8458.453125,8296.21875,8367.84765625,19647331549,0,2.0,0.0,0.0,1.0,True,,,,,2.2857142857142856,0.4879500364742673,0.0,0.42857142857142855,-0.00918684685986848,0.015182622080130832,-0.0642931056247622
2020-01-26,BTC,8364.41015625,8602.4013671875,8325.498046875,8596.830078125,22177678796,0,,,,,True,,,,,2.1666666666666665,0.40824829046386424,,0.2857142857142857,0.027364554337216074,0.018369279262625455,-0.01256742000595612
2020-01-27,BTC,8597.30859375,8977.7265625,8597.30859375,8909.8193359375,28647338393,0,,,,,True,,,,,2.0,0.0,,0.2857142857142857,0.036407519395889265,0.023117323984958964,0.02912764710911797
2020-01-28,BTC,8912.5244140625,9358.58984375,8908.447265625,9358.58984375,34398744403,0,,,,,True,,,,,2.0,0.0,,0.14285714285714285,0.05036808165148732,0.029041176331572875,0.07005519107402636
2020-01-29,BTC,9357.470703125,9406.431640625,9269.4677734375,9316.6298828125,30682598115,1,2.0,0.0,0.0,1.0,False,0.3612,0.0,0.102,0.0,2.0,0.0,,0.14285714285714285,-0.004483577295090302,0.028764738021980155,0.07323614667073608
2020-01-30,BTC,9316.0166015625,9553.1259765625,9230.8974609375,9508.9931640625,32378792851,2,2.5,0.5,0.0,0.5,False,0.59265,0.00954594154601844,0.133,0.0,2.125,0.25000000000000344,0.5,0.42857142857142855,0.02064730312029206,0.022002372757019162,0.13114560041783063
2020-01-31,BTC,9508.3134765625,9521.7060546875,9230.7763671875,9350.529296875,29432489719,0,2.5,0.5,0.0,0.5,True,,,,,2.25,0.2886751345948156,0.0,0.42857142857142855,-0.016664631518128026,0.025367882317919026,0.10716970441569695
2020-02-01,BTC,9346.357421875,9439.3232421875,9313.2392578125,9392.875,25922656496,0,2.5,0.5,0.0,0.5,True,,,,,2.375,0.2500000000000028,0.0,0.42857142857142855,0.00452869583961979,0.023668169633769887,0.12249593752873844
